Cod UF;UF;Sgl UF;Cod IBGE;Nome Município;Latitude;Longitude;Sgl Região;Região;Chave_Localidade;Nome Municipio Tratado
29;Bahia;BA;2900108;ABAÍRA;-13,2507;-41,6647;NE;Nordeste;BA_ABAIRA;ABAIRA
29;Bahia;BA;2900207;ABARÉ;-8,72375;-39,1146;NE;Nordeste;BA_ABARE;ABARE
29;Bahia;BA;2900306;ACAJUTIBA;-11,658;-38,0201;NE;Nordeste;BA_ACAJUTIBA;ACAJUTIBA
29;Bahia;BA;2900355;ADUSTINA;-10,5357;-38,1158;NE;Nordeste;BA_ADUSTINA;ADUSTINA
29;Bahia;BA;2900405;ÁGUA FRIA;-11,8623;-38,7642;NE;Nordeste;BA_AGUA FRIA;AGUA FRIA
29;Bahia;BA;2900504;ÉRICO CARDOSO;-13,4176;-42,1407;NE;Nordeste;BA_ERICO CARDOSO;ERICO CARDOSO
29;Bahia;BA;2900603;AIQUARA;-14,1274;-39,894;NE;Nordeste;BA_AIQUARA;AIQUARA
29;Bahia;BA;2900702;ALAGOINHAS;-12,134;-38,4211;NE;Nordeste;BA_ALAGOINHAS;ALAGOINHAS
29;Bahia;BA;2900801;ALCOBAÇA;-17,5199;-39,2039;NE;Nordeste;BA_ALCOBACA;ALCOBACA
29;Bahia;BA;2900900;ALMADINA;-14,7093;-39,6418;NE;Nordeste;BA_ALMADINA;ALMADINA
29;Bahia;BA;2901007;AMARGOSA;-13,0319;-39,5972;NE;Nordeste;BA_AMARGOSA;AMARGOSA
29;Bahia;BA;2901106;AMÉLIA RODRIGUES;-12,3976;-38,7535;NE;Nordeste;BA_AMELIA RODRIGUES;AMELIA RODRIGUES
29;Bahia;BA;2901155;AMÉRICA DOURADA;-11,4434;-41,4393;NE;Nordeste;BA_AMERICA DOURADA;AMERICA DOURADA
29;Bahia;BA;2901205;ANAGÉ;-14,6143;-41,139;NE;Nordeste;BA_ANAGE;ANAGE
29;Bahia;BA;2901304;ANDARAÍ;-12,7952;-41,3286;NE;Nordeste;BA_ANDARAI;ANDARAI
29;Bahia;BA;2901353;ANDORINHA;-10,3436;-39,8338;NE;Nordeste;BA_ANDORINHA;ANDORINHA
29;Bahia;BA;2901403;ANGICAL;-12,0091;-44,7001;NE;Nordeste;BA_ANGICAL;ANGICAL
29;Bahia;BA;2901502;ANGUERA;-12,1519;-39,2441;NE;Nordeste;BA_ANGUERA;ANGUERA
29;Bahia;BA;2901601;ANTAS;-10,4132;-38,3323;NE;Nordeste;BA_ANTAS;ANTAS
29;Bahia;BA;2901700;ANTÔNIO CARDOSO;-12,4339;-39,1179;NE;Nordeste;BA_ANTONIO CARDOSO;ANTONIO CARDOSO
29;Bahia;BA;2901809;ANTÔNIO GONÇALVES;-10,5722;-40,2758;NE;Nordeste;BA_ANTONIO GONCALVES;ANTONIO GONCALVES
29;Bahia;BA;2901908;APORÁ;-11,6608;-38,0806;NE;Nordeste;BA_APORA;APORA
29;Bahia;BA;2901957;APUAREMA;-13,8559;-39,7447;NE;Nordeste;BA_APUAREMA;APUAREMA
29;Bahia;BA;2902005;ARACATU;-14,4284;-41,4651;NE;Nordeste;BA_ARACATU;ARACATU
29;Bahia;BA;2902054;ARAÇAS;-12,2144;-38,202;NE;Nordeste;BA_ARACAS;ARACAS
29;Bahia;BA;2902104;ARACI;-11,3333;-38,9599;NE;Nordeste;BA_ARACI;ARACI
29;Bahia;BA;2902203;ARAMARI;-12,0888;-38,4973;NE;Nordeste;BA_ARAMARI;ARAMARI
29;Bahia;BA;2902252;ARATACA;-15,2656;-39,4193;NE;Nordeste;BA_ARATACA;ARATACA
29;Bahia;BA;2902302;ARATUÍPE;-13,0773;-39,0019;NE;Nordeste;BA_ARATUIPE;ARATUIPE
29;Bahia;BA;2902401;AURELINO LEAL;-14,3181;-39,3227;NE;Nordeste;BA_AURELINO LEAL;AURELINO LEAL
29;Bahia;BA;2902500;BAIANÓPOLIS;-12,3076;-44,5386;NE;Nordeste;BA_BAIANOPOLIS;BAIANOPOLIS
29;Bahia;BA;2902609;BAIXA GRANDE;-11,9561;-40,1687;NE;Nordeste;BA_BAIXA GRANDE;BAIXA GRANDE
29;Bahia;BA;2902658;BANZAÊ;-10,583;-38,6131;NE;Nordeste;BA_BANZAE;BANZAE
29;Bahia;BA;2902708;BARRA;-11,0863;-43,1463;NE;Nordeste;BA_BARRA;BARRA
29;Bahia;BA;2902807;BARRA DA ESTIVA;-13,6273;-41,3306;NE;Nordeste;BA_BARRA DA ESTIVA;BARRA DA ESTIVA
29;Bahia;BA;2902906;BARRA DO CHOÇA;-14,8659;-40,5794;NE;Nordeste;BA_BARRA DO CHOCA;BARRA DO CHOCA
29;Bahia;BA;2903003;BARRA DO MENDES;-11,8104;-42,0593;NE;Nordeste;BA_BARRA DO MENDES;BARRA DO MENDES
29;Bahia;BA;2903102;BARRA DO ROCHA;-14,2097;-39,6002;NE;Nordeste;BA_BARRA DO ROCHA;BARRA DO ROCHA
29;Bahia;BA;2903201;BARREIRAS;-12,1443;-44,9972;NE;Nordeste;BA_BARREIRAS;BARREIRAS
29;Bahia;BA;2903235;BARRO ALTO;-11,7609;-41,9058;NE;Nordeste;BA_BARRO ALTO;BARRO ALTO
29;Bahia;BA;2903276;BARROCAS;-11,5277;-39,0779;NE;Nordeste;BA_BARROCAS;BARROCAS
29;Bahia;BA;2903300;BARRO PRETO;-14,7952;-39,4764;NE;Nordeste;BA_BARRO PRETO;BARRO PRETO
29;Bahia;BA;2903409;BELMONTE;-15,8613;-38,8761;NE;Nordeste;BA_BELMONTE;BELMONTE
29;Bahia;BA;2903508;BELO CAMPO;-15,0338;-41,2655;NE;Nordeste;BA_BELO CAMPO;BELO CAMPO
29;Bahia;BA;2903607;BIRITINGA;-11,6215;-38,8054;NE;Nordeste;BA_BIRITINGA;BIRITINGA
29;Bahia;BA;2903706;BOA NOVA;-14,3642;-40,2061;NE;Nordeste;BA_BOA NOVA;BOA NOVA
29;Bahia;BA;2903805;BOA VISTA DO TUPIM;-12,6606;-40,6089;NE;Nordeste;BA_BOA VISTA DO TUPIM;BOA VISTA DO TUPIM
29;Bahia;BA;2903904;BOM JESUS DA LAPA;-13,251;-43,4111;NE;Nordeste;BA_BOM JESUS DA LAPA;BOM JESUS DA LAPA
29;Bahia;BA;2903953;BOM JESUS DA SERRA;-14,374;-40,5049;NE;Nordeste;BA_BOM JESUS DA SERRA;BOM JESUS DA SERRA
29;Bahia;BA;2904001;BONINAL;-12,7073;-41,8289;NE;Nordeste;BA_BONINAL;BONINAL
29;Bahia;BA;2904050;BONITO;-11,9672;-41,265;NE;Nordeste;BA_BONITO;BONITO
29;Bahia;BA;2904100;BOQUIRA;-12,821;-42,7327;NE;Nordeste;BA_BOQUIRA;BOQUIRA
29;Bahia;BA;2904209;BOTUPORÃ;-13,3796;-42,5245;NE;Nordeste;BA_BOTUPORA;BOTUPORA
29;Bahia;BA;2904308;BREJÕES;-13,104;-39,7942;NE;Nordeste;BA_BREJOES;BREJOES
29;Bahia;BA;2904407;BREJOLÂNDIA;-12,4863;-43,9616;NE;Nordeste;BA_BREJOLANDIA;BREJOLANDIA
29;Bahia;BA;2904506;BROTAS DE MACAÚBAS;-11,9951;-42,6302;NE;Nordeste;BA_BROTAS DE MACAUBAS;BROTAS DE MACAUBAS
29;Bahia;BA;2904605;BRUMADO;-14,2026;-41,6699;NE;Nordeste;BA_BRUMADO;BRUMADO
29;Bahia;BA;2904704;BUERAREMA;-14,9561;-39,3027;NE;Nordeste;BA_BUERAREMA;BUERAREMA
29;Bahia;BA;2904753;BURITIRAMA;-10,7176;-43,634;NE;Nordeste;BA_BURITIRAMA;BURITIRAMA
29;Bahia;BA;2904803;CAATIBA;-14,9782;-40,4092;NE;Nordeste;BA_CAATIBA;CAATIBA
29;Bahia;BA;2904852;CABACEIRAS DO PARAGUAÇU;-12,5321;-39,1906;NE;Nordeste;BA_CABACEIRAS DO PARAGUACU;CABACEIRAS DO PARAGUACU
29;Bahia;BA;2904902;CACHOEIRA;-12,5999;-38,959;NE;Nordeste;BA_CACHOEIRA;CACHOEIRA
29;Bahia;BA;2905008;CACULÉ;-14,5007;-42,2232;NE;Nordeste;BA_CACULE;CACULE
29;Bahia;BA;2905107;CAÉM;-11,0681;-40,4324;NE;Nordeste;BA_CAEM;CAEM
29;Bahia;BA;2905156;CAETANOS;-14,3389;-40,91;NE;Nordeste;BA_CAETANOS;CAETANOS
29;Bahia;BA;2905206;CAETITÉ;-14,0689;-42,4865;NE;Nordeste;BA_CAETITE;CAETITE
29;Bahia;BA;2905305;CAFARNAUM;-11,6918;-41,4692;NE;Nordeste;BA_CAFARNAUM;CAFARNAUM
29;Bahia;BA;2905404;CAIRU;-13,4908;-39,0468;NE;Nordeste;BA_CAIRU;CAIRU
29;Bahia;BA;2905503;CALDEIRÃO GRANDE;-11,0279;-40,2975;NE;Nordeste;BA_CALDEIRAO GRANDE;CALDEIRAO GRANDE
29;Bahia;BA;2905602;CAMACAN;-15,4146;-39,4923;NE;Nordeste;BA_CAMACAN;CAMACAN
